name,developer,short_description,stars,verified_creator,categories
github td,adamdilek,  automate td,3.0,False,code review;api management
openapi review,blake-mealey,review openapi spec diffs and docs in your prs,1.0,False,api management;code review
graphql diff,agu-z,a neat summary of the changes you made to your graphql schema,0.0,False,api management;code review
go-apidiff,joelanford,test api compatibility of changes in your go library,11.0,False,api management;code review
swift-api-assign-reviewer,marcoeidinger,auto assign reviewer or assignee to pull request when open public apis were changed in swift files,0.0,False,code review;api management
var.js,mutterpedro,var  various automated reviews  is a deadly simple task runner based on npm scripts,4.0,False,code review;container ci
vro diff check,lrivallain,github action using vro package diff python package to compare two vmware vrealize orchestrator packages,0.0,False,container ci;code review
branch guard,cirrus-actions,guards branches from merges when,4.0,False,container ci;code review
lint k8s manifest files,azure,lint k8s manifest files,16.0,True,container ci;code review
validate fastlane supply metadata,ashutoshgngwr,github action to statically validate fastlane supply metadata for android against the play store listing constraints,9.0,False,mobile;code review
xamltranslationvalidator,thepbone,track localization progress  detect missing strings and generate summaries for xaml resource dictionaries,0.0,False,localization;code review
check pr for word,jj,checks that the body or the added code contains a word,7.0,False,code review;project management
pivotal-lint,cleartax,add pivotal story details to pull requests,11.0,False,project management;code review
review request action,kunihiko-t,send review requests to users   teams,2.0,False,code review;project management
action-newrelic-segment-lint,budougumi0617,  verify new function generates a segment for newrelic with reviewdog on pull requests to improve code review experience,2.0,False,code review;monitoring
autoassignreviewerteam,nikosmoum,run script that auto assigns a team as a pr reviewer,3.0,False,project management;code review
set pr labels based on pr title,tdak1509,set pr label based on pr title s pattern,0.0,False,code review;project management
"create pr to other branches, on commits to a branch",gorillio,commits  pushes a new pr branch and creates pr for the commits,6.0,False,code review;project management
add an issue link,tkt-actions,use to add an issue link related to your pull requests,4.0,False,project management;code review
jira issue details in pr,alvisetrevisan,add jira issue details to your github pull request,0.0,False,project management;code review
label requires reviews,travelperk,this github action will require a minimum number of reviews if a label is present,6.0,False,code review;project management
clubhouse pr,farmersdog,update github pr with clubhouse information,2.0,False,project management;code review
author to codeowners,dmikov,last authors written to codeowners,0.0,False,code review;project management
jira properties labeler on pull request,xserrat,label a pull request using jira issue properties,2.0,False,code review;project management
check email domain,higebu,check commit author s email domain,1.0,False,project management;code review
pull request stats,flowwer-dev,github action to print relevant stats about pull request reviewers,39.0,False,project management;code review
pr labeler based on multiple rules,srvaroa,label pull requests based on configurable rules,26.0,False,code review;project management
auto-merge pull request,reitermarkus,automatically merge pull requests once they are approved and required status checks are passing ,13.0,False,project management;code review
github and asana pull request task integration.,keitap,when a reviewer is assigned on github  creates a review subtask on an asana task specified in a pull request description,0.0,False,code review;project management
concat a message on pull-request body,chiaretto,a github action to concat a message to  pull request original body,2.0,False,code review;project management
pr gatekeeper,octodemo,an action to perform the required checks for complex pull request approval cases,1.0,False,code review;project management
list artifacts of a pull-request,chiaretto,a github action list artifacts gerenated on a pull request,1.0,False,project management;code review
jira ticket assigner,smasala,automatically adds jira tickets by scanning the branch name and adding them as a comment to the pr,1.0,False,project management;code review
just create a pull request,thomaseizinger,does what it says on the tin  create a pull request  easy and simple,10.0,False,code review;project management
assign a milestone to pull requests,zoispag,assign a milestone to pull requests,0.0,False,code review;project management
github / asana integration,kinnersleym,adds a pr link to an asana ticket and vice versa,2.0,False,project management;code review
verify linked issue,hattan,a github action that verifies a pull request contains a reference to an issue,5.0,False,code review;project management
add new pull request to project board,adityagovardhan,add a pull request to the first project on the repo,1.0,False,project management;code review
ready for review,jinmayamashita,an action for automatically label swapping for draft pull requests,6.0,False,project management;code review
pr merge bot,squalrus,merge pull requests when certain conditions are met,42.0,False,monitoring;code review
working label,alberthernandez,add labels depending if the pull request is ready to review,1.0,False,code review;project management
label pr on merge bot,abhijithvijayan,label pull requests with custom label on merge,2.0,False,monitoring;code review
pr label assistant,fountainhead,provide guidance on what labels can should be applied to pull requests,0.0,False,code review;project management
jira-lint,cleartax,add jira issue details to your github pull request,33.0,False,code review;project management
amtoolcm github actions,peimanja,runs prometheus alertmanager amtool check config subcommmand via github actions,3.0,False,code review;monitoring
